装備ID,装備名,開発日時,燃料,弾薬,鋼材,ボーキ,旗艦ID,旗艦名,旗艦艦種,司令部Lv
11,15.2cm単装砲,2015/10/27 16:30:59,10,251,250,30,275,長門改,9,106
35,三式弾,2015/10/27 16:31:10,10,251,250,30,275,長門改,9,106
41,甲標的,2015/10/28 21:41:51,10,251,250,30,275,長門改,9,106
36,九一式徹甲弾,2015/10/28 21:47:00,10,251,250,30,275,長門改,9,106
11,15.2cm単装砲,2015/10/28 21:47:10,10,251,250,30,275,長門改,9,106
9,46cm三連装砲,2015/10/28 21:47:25,10,251,250,30,275,長門改,9,106
11,15.2cm単装砲,2015/10/29 18:54:16,20,20,250,250,275,長門改,9,106
-1,(失敗),2015/10/29 18:55:36,20,20,250,250,275,長門改,9,106
1,12cm単装砲,2015/10/29 18:55:46,20,20,250,250,275,長門改,9,106
39,25mm連装機銃,2015/10/29 18:56:10,20,20,250,250,275,長門改,9,106
-1,(失敗),2015/10/30 18:03:43,20,20,250,250,277,赤城改,11,106
19,九六式艦戦,2015/10/30 18:04:39,20,20,250,250,277,赤城改,11,106
39,25mm連装機銃,2015/10/30 18:04:50,20,20,250,250,277,赤城改,11,106
38,12.7mm単装機銃,2015/10/30 18:05:00,20,20,250,250,277,赤城改,11,106
3,10cm連装高角砲,2015/10/31 18:29:54,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/10/31 18:31:41,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/10/31 18:31:56,20,20,250,250,277,赤城改,11,106
37,7.7mm機銃,2015/10/31 18:32:05,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/11/03 15:32:35,20,20,250,250,277,赤城改,11,106
19,九六式艦戦,2015/11/03 15:33:19,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/11/03 15:33:32,20,20,250,250,277,赤城改,11,106
38,12.7mm単装機銃,2015/11/03 15:33:56,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/11/06 15:14:28,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:16:16,20,20,250,250,112,瑞鶴改,11,106
25,零式水上偵察機,2015/11/06 15:16:26,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:16:35,20,20,250,250,112,瑞鶴改,11,106
59,零式水上観測機,2015/11/06 15:16:45,20,20,250,250,112,瑞鶴改,11,106
25,零式水上偵察機,2015/11/06 15:16:56,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:17:05,20,20,250,250,112,瑞鶴改,11,106
3,10cm連装高角砲,2015/11/06 15:17:15,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:17:24,20,20,250,250,112,瑞鶴改,11,106
25,零式水上偵察機,2015/11/06 15:17:34,20,20,250,250,112,瑞鶴改,11,106
29,33号対水上電探,2015/11/06 15:17:43,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:17:53,20,20,250,250,112,瑞鶴改,11,106
28,22号対水上電探,2015/11/06 15:18:06,20,20,250,250,112,瑞鶴改,11,106
39,25mm連装機銃,2015/11/06 15:18:20,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:18:29,20,20,250,250,112,瑞鶴改,11,106
10,12.7cm連装高角砲,2015/11/06 15:18:40,20,20,250,250,112,瑞鶴改,11,106
39,25mm連装機銃,2015/11/06 15:18:49,20,20,250,250,112,瑞鶴改,11,106
25,零式水上偵察機,2015/11/06 15:19:00,20,20,250,250,112,瑞鶴改,11,106
38,12.7mm単装機銃,2015/11/06 15:19:10,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:19:27,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/11/06 15:19:37,20,20,250,250,112,瑞鶴改,11,106
21,零式艦戦52型,2015/11/06 15:19:48,20,20,250,250,112,瑞鶴改,11,106
25,零式水上偵察機,2015/11/07 21:00:55,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/11/07 21:02:05,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/11/07 21:02:17,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/11/07 21:02:27,20,20,250,250,277,赤城改,11,106
20,零式艦戦21型,2015/11/08 16:40:17,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/11/08 16:43:59,20,20,250,250,277,赤城改,11,106
21,零式艦戦52型,2015/11/08 16:44:11,20,20,250,250,277,赤城改,11,106
3,10cm連装高角砲,2015/11/08 16:44:20,20,20,250,250,277,赤城改,11,106
19,九六式艦戦,2015/11/09 16:45:08,20,20,250,250,277,赤城改,11,106
38,12.7mm単装機銃,2015/11/09 16:46:01,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/11/09 16:46:10,20,20,250,250,277,赤城改,11,106
19,九六式艦戦,2015/11/09 16:46:20,20,20,250,250,277,赤城改,11,106
6,20.3cm連装砲,2015/11/11 17:15:17,100,251,250,30,275,長門改,9,106
34,強化型艦本式缶,2015/11/11 17:16:31,100,251,250,30,275,長門改,9,106
6,20.3cm連装砲,2015/11/11 17:16:41,100,251,250,30,275,長門改,9,106
10,12.7cm連装高角砲,2015/11/11 17:16:51,100,251,250,30,275,長門改,9,106
35,三式弾,2015/11/12 15:30:54,100,251,250,30,275,長門改,9,106
6,20.3cm連装砲,2015/11/12 15:32:06,100,251,250,30,275,長門改,9,106
4,14cm単装砲,2015/11/12 15:32:15,100,251,250,30,275,長門改,9,106
7,35.6cm連装砲,2015/11/12 15:32:25,100,251,250,30,275,長門改,9,106
7,35.6cm連装砲,2015/11/13 18:49:28,100,251,250,30,275,長門改,9,107
11,15.2cm単装砲,2015/11/13 18:51:54,100,251,250,30,275,長門改,9,107
14,61cm四連装魚雷,2015/11/13 18:52:14,100,251,250,30,275,長門改,9,107
7,35.6cm連装砲,2015/11/13 18:52:28,100,251,250,30,275,長門改,9,107
37,7.7mm機銃,2015/11/14 12:25:42,100,251,250,30,275,長門改,9,107
-1,(失敗),2015/11/14 12:26:27,100,251,250,30,275,長門改,9,107
8,41cm連装砲,2015/11/14 12:26:37,100,251,250,30,275,長門改,9,107
39,25mm連装機銃,2015/11/14 12:26:46,100,251,250,30,275,長門改,9,107
12,15.5cm三連装副砲,2015/11/15 21:41:35,100,251,250,30,275,長門改,9,107
